,low,high
PTLp,-1.1765119333502345,0.6041014520425526
TEa,-0.5811619789210029,0.9098006020185215
VIS,-0.5068780037060848,0.6951348751794699
AUD,-0.8134745452817163,0.607768321611682
RSP,-0.8439608447468219,0.5372296115190034
Thal,-0.5604486912824411,0.31970197194637623
Thal_noLGd,-0.7625542628954882,0.18478446442667568
Dist_ctx,-0.7976185740011476,0.5552254206828996
VISp,-0.34853745977229733,1.0973750629085013
VISpm,-1.2308338328169757,0.6158225908356408
VISl,-1.2657860693922913,-0.031670075837817745
VISam,-1.4006534105045365,0.18112368762136402
VISal,-0.6181557679097684,0.5233516142224925
RSPagl,-0.8829496240782596,0.6489853059522452
RSPd,-0.8866316038630692,0.5381954749914076
RSPv,-0.8090211506362649,0.5260913699292574
AM,-1.6215318455802044,-0.06311356897080611
LD,-0.4146813246201942,0.254710369957487
LP,-1.1861804963072904,0.2052532561474322
LGd,-0.1382765860311501,1.540566076212731
ORB,-1.2692888039167578,0.811270928885064
ACA,-0.729002942781879,0.6918595049177081
MOs,-0.37537101969515846,1.255322989336666
CLA,-0.7204517497843462,0.747054842149401
input,-0.47091464396758037,0.5604968151064355
