,low,high
PTLp,-0.29625350488492425,0.47019172452296054
TEa,-0.40094940832148485,0.2522686950975954
VIS,-0.30412205323703434,0.2205404093122569
AUD,-0.2731359769539814,0.34847085529250826
RSP,-0.32970029715251264,0.2709621194840235
Thal,-0.1817294419675501,0.19780123375203298
Thal_noLGd,-0.16940697883591876,0.24706595120287317
Dist_ctx,-0.2752120160246032,0.3051814069423162
VISp,-0.4193508758133831,0.19923901983463385
VISpm,-0.3594357684864052,0.4345588992489001
VISl,-0.10166787711116451,0.4464195550041916
VISam,-0.22639206710489884,0.4738820444964572
VISal,-0.25480661901481255,0.23996210006221405
RSPagl,-0.3705576012320792,0.2924760961606135
RSPd,-0.30756713553907383,0.3052532784174721
RSPv,-0.33258147794144133,0.24288556941268294
AM,-0.21041282529836433,0.4805712933227142
LD,-0.18008042721500386,0.11098851161796425
LP,-0.19540400000533417,0.42366653553019606
LGd,-0.49352461435007916,0.2094285304894689
ORB,-0.4097144170614667,0.47717742278561015
ACA,-0.38754331274617215,0.21845768024565315
MOs,-0.4786376638443562,0.21213920003773015
CLA,-0.39326065870943416,0.2400463409633406
input,-0.26973298542372875,0.1717375284967474
