group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
10,BRAC2704_6c,2860,2729,V1,RETRO,2,1.0,PM/V1,1,76,23,1226,92,370,380,112,363,765,154,121,74,112,98,100,172,23,82,7,268,59,69,42,2
1,ERAD25_1a,2548,2451,V1,GLT,3,1.0,V1,1,5,4,810,8,368,437,269,62,715,55,7,10,23,64,85,219,11,158,100,168,14,11,15,5
2,ERAD25_1b,9059,8418,PM,GLT,8,1.0,PM,1,256,48,2797,178,2028,1822,1629,990,1235,674,384,336,168,355,670,1003,177,411,1041,193,312,118,33,45
10,BRAC2704_6d,8465,7486,V1,RETRO,13,1.0,V1,1,289,192,1680,295,1884,678,429,1485,938,192,145,212,193,381,602,901,163,205,61,249,137,377,153,42
9,ERAE26_6e,7223,6860,PM,RBP,16,1.0,V1,1,153,48,2998,130,1393,990,799,752,1893,535,167,223,180,344,552,497,26,197,576,191,246,93,50,32
3,ERAD26_3d,8882,8735,PM,GLT,17,1.0,V1,1,203,74,3990,222,1062,1536,1188,855,2656,630,295,174,235,157,333,572,51,385,752,348,205,84,46,21
4,ERAB23_1a,6119,5801,V1,TLX,18,1.0,V1,1,36,29,2871,74,374,1307,646,300,2472,107,237,18,37,51,142,181,2,245,399,661,102,34,9,16
4,ERAB13_1e,20927,19902,V1,TLX,25,1.0,V1,1,429,337,5693,1143,4069,3592,3021,3599,3025,493,752,773,650,777,1618,1674,198,743,2080,571,1035,226,219,210
5,ERAB23_1b,7785,7373,PM,TLX,63,1.0,PM,1,72,73,2529,202,1588,1475,1425,795,1006,689,364,309,161,254,540,794,119,391,915,50,271,114,25,38
10,ERAA10_4h,8343,7708,V1,RETRO,100,1.0,V1,1,390,171,1838,359,1218,1118,756,1641,1020,182,147,232,257,345,398,475,98,349,309,362,196,281,142,102
5,ERAB23_3g,21159,20182,PM,TLX,117,1.0,PM,1,755,223,6211,496,4944,3516,3197,2976,2902,902,1249,838,320,1316,1787,1841,244,625,2328,319,775,419,133,175
11,BRAC3859_1b,17219,16740,PM,RETRO,122,0.975409836,PM,1,359,172,6119,420,3867,1913,1826,3222,3385,850,760,809,315,682,1309,1876,294,529,1003,87,1507,591,109,64
7,ERAE28_9b,21726,20464,V1,RBP,162,1.0,V1,1,664,762,5365,1001,2463,3216,1803,4260,3111,598,897,320,439,356,970,1137,57,434,1312,1413,669,598,378,188
12,BRAC3859_1c,26248,23098,PM,RETRO,184,1.0,PM/V1,1,1145,697,5679,1232,4422,1772,1551,6609,2434,297,1419,862,667,967,1403,2052,455,691,405,221,1663,1338,365,169
12,BRAC3026_8e,39324,36847,PM,RETRO,187,0.983957219,PM/V1,1,695,1028,10753,1973,8111,3896,3271,7663,6686,1199,881,1258,729,1891,2499,3721,687,887,1697,625,1824,1299,212,632
11,ERAA10_4j,14502,13747,PM,RETRO,207,0.93236715,PM,1,508,243,2985,665,1798,2147,1575,2814,1180,152,764,299,590,322,686,790,294,709,572,572,94,833,270,201
9,ERAE25_3a,73537,67146,PM,RBP,320,0.959375,PM,1,2721,2021,19629,4018,11512,6876,5412,15702,12097,1970,2183,1653,1726,2718,3484,5310,793,1364,3255,1464,2217,2374,1608,743
8,ERAE26_6c,22528,21190,PM,RBP,338,1.0,PM,1,1049,534,4274,1086,3070,4223,3413,5518,1821,591,921,436,505,824,722,1524,372,932,2109,810,1390,747,326,386
9,ERAE25_2a,75254,67081,PM,RBP,412,0.9902912621359223,PM/V1,1,1911,1755,20794,2809,13431,6848,5812,12720,11462,3277,2508,2000,1547,3752,4864,4815,724,1081,4007,1036,2117,2408,1026,694
8,ERAE23_3c,94211,80873,PM,RBP,482,0.9336099585062241,PM,1,1230,2191,19186,2563,17407,7952,7389,16789,10453,3301,2339,2119,974,4457,5910,7040,1009,1699,4681,563,4557,4473,817,958
5,ERAB13_5b,58183,53162,PM,TLX,516,1.0,PM,1,1328,1377,16931,2673,11727,5970,5672,10987,9469,3261,1589,1750,862,2390,4166,5171,743,1550,3379,298,2149,2095,744,621
6,ERAB13_5a,44456,41736,PM,TLX,616,0.998376623,PM/V1,1,829,949,14158,1888,10373,4836,4133,6563,8619,2287,1179,1510,563,2552,3552,4269,376,1161,2596,703,1299,825,325,448
5,ERAB13_5d,50822,48214,PM,TLX,776,1.0,PM,1,1817,1050,19972,2455,8417,5116,4245,8645,10726,4335,1934,1513,1464,1962,2953,3502,419,1056,2770,871,970,1241,831,281
7,ERAE28_2e,41487,39047,V1,RBP,908,1.0,V1,1,1803,1368,15318,2345,3707,3794,2690,8829,11178,926,1525,688,1001,1079,1172,1456,116,757,1817,1104,677,1120,1190,326
7,ERAE26_2c,49479,44634,V1,RBP,1140,0.999122807,V1,1,789,1022,13313,2857,5118,5156,3425,8900,8703,868,2411,395,936,989,1898,2231,312,916,2197,1731,1501,1299,1244,188
3,ERAQ2_3j,80876,74490,V1,TLX,1474,0.999321574,V1,1,1916,2575,24858,5035,14305,7012,5776,15989,18231,2192,1047,2279,1109,3466,5449,5390,655,1374,3747,1236,2598,1815,1268,782
8,ERAE28_2a,88537,79594,PM,RBP,1488,0.999327957,PM,1,3195,2486,21693,4893,13322,8906,7851,20923,12637,1521,3759,1768,2008,2728,4859,5735,826,1787,5238,1055,3741,3876,1563,1169
7,ERAE28_2c,85427,77524,V1,RBP,1900,0.998421053,V1,1,4213,2291,23647,4762,7786,7419,5234,19740,16233,1359,2703,765,2587,1802,3001,2983,423,1377,3434,2185,1910,2539,3153,872
