,area,mean slope,median slope,95%quant-low,95%quant-high
0,PTLp,0.7169695094808296,0.7158396490796327,0.4857289907484597,0.9498094928075018
1,TEa,0.8051819163818398,0.805402077417209,0.6022150537204198,1.0108372233398242
2,VIS,0.44965228427074855,0.4512044040099111,0.3305494364203948,0.5631746144778872
3,AUD,0.7776496658419048,0.7788534773135747,0.5698632900025536,0.9942138714298139
4,RSP,0.41849178507158624,0.4178409425027101,0.260786115519926,0.5770352300843968
5,Thal,0.37458189226202704,0.37255489672481423,0.2646037236528333,0.4868036222485989
6,Thal_noLGd,0.3883442310432502,0.3880338954786556,0.2595457946504812,0.5167932885932297
7,Dist_ctx,0.7020013713944216,0.7028483291511924,0.5198888972315134,0.8799349845085453
8,VISp,0.4453099349267637,0.4460261775299001,0.309491656989379,0.5765005326778375
9,VISpm,0.3900035255320753,0.39059625760882066,0.22481212238255172,0.5456282407969513
10,VISl,0.6292648753569859,0.6297576282723628,0.39769129721697616,0.8583528048251686
11,VISam,0.5178745163337655,0.5171386802704108,0.2524654895812471,0.7760609923023726
12,VISal,0.5367821659508349,0.5365463669164259,0.3619788477869994,0.7170798941286517
13,RSPagl,0.47109977998092,0.470928879464778,0.2930686305619739,0.6493552643396633
14,RSPd,0.45240608134778304,0.4519544591187425,0.28185261167582665,0.6232047668219519
15,RSPv,0.3765360565699238,0.3765684136336862,0.2259625743081061,0.5302627077664126
16,AM,0.5126150617981245,0.5117542331875973,0.20258250197550265,0.8184561660251423
17,LD,0.30387587179319125,0.30337423713461564,0.2148676938959314,0.39242170508855306
18,LP,0.4754459487663581,0.4775148000916931,0.26261087735405164,0.6820265320491571
19,LGd,0.3535915553224404,0.35354047772867414,0.2466229777850516,0.4628794569429661
20,ORB,0.5729931601949706,0.57126113159359,0.37443790477127403,0.7812399410723873
21,ACA,0.687339208362436,0.6865144795976916,0.5145079836212683,0.8577897789855125
22,MOs,0.7646006173101637,0.7653403717099133,0.5616796553297173,0.9640660222737885
23,CLA,0.6499160344423537,0.6492868726164729,0.47346725175753457,0.8259501293095695
24,input,0.46883752435143106,0.46831969020518927,0.3747852748664914,0.5680337364576333
