,LGd
0,362.4549819843252
1,498.90707173122377
2,351.7063383944166
3,264.3082176738061
4,376.32792469561934
5,416.7208978439914
6,363.1092964519275
7,346.31458329770095
8,364.0076026402001
9,406.7546905024131
10,294.4962596739044
11,372.85848376372206
12,351.53387215451914
13,437.40530358917204
14,366.11847069499584
15,229.94345156514927
16,235.83523519977214
17,518.7339221025178
18,461.14829751196226
19,341.5830043243301
20,375.9695702997249
21,201.63903261858388
22,274.57286539560533
23,321.0156383994887
24,264.62938224631574
25,389.505684828143
26,409.97911710527154
27,185.40414203138147
28,313.8251660064669
29,390.03109322422506
30,443.92682018454985
31,352.5020675937358
32,328.3867498290782
33,314.472501677929
34,508.74875092372025
35,498.8766557527042
36,347.134051711474
37,458.51025029897914
38,364.68743252489935
39,294.0197497213728
40,413.2530427245404
41,310.6232711781277
42,387.42695600427845
43,208.8651874864936
44,316.94868945667116
45,341.12989950412185
46,330.53573764095563
47,351.26298097773105
48,465.4619647690594
49,503.6071879004143
50,385.60157788836807
51,386.35419062432356
52,407.4849730209084
53,419.3392804150165
54,557.1632504776304
55,439.21411611717394
56,345.4456789964763
57,447.20895761591015
58,400.5837609913822
59,406.29159464600247
60,361.73882139452155
61,411.0541164153833
62,431.1246688990253
63,441.7838455477235
64,287.42283216091494
65,219.73699928145803
66,443.2592253229123
67,356.7235799746864
68,619.1986937172618
69,311.13273177862004
70,318.9430031844937
71,324.9037824725716
72,225.1799939359218
73,399.20912156153656
74,251.93132659672636
75,395.9270524545047
76,335.9570724392822
77,369.82201932752514
78,457.50020719423344
79,338.7338520719038
80,335.9389828502784
81,269.618325490418
82,496.7529721602309
83,392.2530251565345
84,246.64334329853938
85,383.7477944135102
86,233.48804896353002
87,274.65441956754836
88,401.060243740484
89,379.7830600960005
90,581.8354486831469
91,383.9432740506353
92,366.03297068304164
93,222.65704839567846
94,252.66027379365644
95,298.8328459556124
96,383.98644528228834
97,272.0382851401126
98,303.95184025012827
99,388.2137486248535
100,439.4667166327362
101,485.27992088627906
102,349.4928623702169
103,519.727851667677
104,553.9396618605471
105,550.848781370193
106,240.3761136667523
107,251.95222771556266
108,274.39086952932536
109,396.88146485438864
110,360.3061329964846
111,376.6038049558495
112,316.85019396042594
113,325.03092518291015
114,430.4387591115163
115,333.58915500871944
116,357.66645939639994
117,399.647956633147
118,540.2008280594492
119,424.0634388742886
120,339.48025833899
121,469.9467334744501
122,437.610612698832
123,307.49014224283457
124,305.5866826160473
125,361.8739210620431
126,514.7494201113333
127,333.8500441122758
128,221.06677562030526
129,434.0600416614227
130,205.35621645760267
131,490.7907227008802
132,318.9526337479624
133,357.8761404484744
134,375.9584143015558
135,313.0155535093192
136,315.11640112103777
137,312.0557233421438
138,365.9330035406156
139,233.31404500252836
140,336.4867322943462
141,450.1243228164215
142,280.09504877253755
143,382.97799651769674
144,488.830756955583
145,247.62681003699296
146,495.8244376554231
147,310.50918739739654
148,453.9675923743204
149,357.0666406317804
150,345.44097078773797
151,159.92827926227622
152,524.3388118370543
153,531.5335231483108
154,364.54633684295567
155,349.75961840409514
156,455.6368659688656
157,442.6658853656586
158,262.5379306477509
159,447.640042669935
160,213.44545346246636
161,198.56179038345329
162,284.1397088756732
163,372.6286050000904
164,289.35998807194125
165,376.0667359929389
166,379.3075100030655
167,361.8700025088279
168,307.53095129500343
169,480.3767487344867
170,350.11651465361786
171,282.39703738940614
172,359.7221107735546
173,274.69063564949386
174,403.9679715653047
175,291.5767127858187
176,453.3585202334049
177,342.8531511262055
178,376.8958482630697
179,293.96048272362464
180,344.27361308408445
181,427.69436473191615
182,322.1074398733368
183,321.0457676697354
184,294.18877489170734
185,198.845291060284
186,306.264172012933
187,340.0142222306153
188,348.06697377407767
189,375.2202681163979
190,366.64970750862074
191,410.43355833161223
192,378.08707691168087
193,398.37062085970166
194,277.968581694088
195,307.07734337936785
196,506.97605913569834
197,378.53624623987366
198,425.3735924677343
199,331.9859095934382
200,300.8988557719282
201,375.73643602641715
202,457.66149185251055
203,417.6774004958232
204,335.290656058475
205,288.17105119699556
206,322.4871311647815
207,342.1047647250915
208,303.49296443053913
209,294.5086480877815
210,315.99406808019495
211,370.56576378191494
212,252.86653269151017
213,456.12760317326314
214,441.9920786333002
215,223.09093332122
216,318.28830552372386
217,394.4387584454818
218,267.4307401571899
219,364.89133554261343
220,391.45287793333034
221,365.82842164290645
222,265.0769520326847
223,305.86497070652825
224,293.05801228996245
225,331.02288320289824
226,247.65525808362213
227,362.5694682876273
228,250.94127119629715
229,349.4223068975
230,418.1372780577268
231,618.8785417341801
232,434.27605517298224
233,401.7597976904421
234,212.940204526947
235,345.99502173459496
236,353.3977466405967
237,273.88395018393544
238,298.2892819330426
239,321.9851127336919
240,458.8206263903895
241,443.9388340355284
242,421.2964306864742
243,375.95318106292774
244,347.15118001020625
245,395.9206025641587
246,399.517802949762
247,262.99363074990976
248,309.50105572572056
249,384.4949539192528
250,376.808743560139
251,275.0657237537958
252,469.43820021828014
253,309.6078078422327
254,248.5909764822875
255,348.3803111258984
256,604.739971811285
257,256.148558236087
258,423.35434981474214
259,397.4369964953864
260,321.04194194342375
261,309.5908439279417
262,346.37696863239285
263,269.15649504966126
264,342.8968504950201
265,276.74654636512537
266,252.48764050463384
267,311.6485399223702
268,276.6364038299723
269,487.8051559458599
270,249.8693645955559
271,344.15173241278205
272,302.36604676422473
273,385.5546104213296
274,401.0858251489175
275,200.86381584361453
276,259.9891266068815
277,405.5098449263617
278,342.6680235949282
279,513.9264081754003
280,383.03165623743564
