,LGd
0,337.98003268704537
1,218.27148481473554
2,342.63271448493015
3,517.2788034307434
4,570.5740929908425
5,286.79187798357407
6,463.01085485908845
7,456.72965332392647
8,280.5349892932241
9,192.00953333030253
10,405.81045739544936
11,268.83701256130956
12,246.18036372037363
13,639.4617389740192
14,710.6389570101693
15,300.1449534183791
16,-60.06715806917468
17,741.9537016305773
18,375.4932816322906
19,304.9731992599915
20,419.6685095934655
21,470.55065777858226
22,288.19394617425337
23,479.37630601740744
24,108.49193635809341
25,254.84521981481583
26,428.9083358654911
27,398.06700796268586
28,484.8132790535585
29,147.57184842903416
30,234.30864159919852
31,335.4063843336988
32,124.61901484968725
33,343.53402157156637
34,382.68657998804395
35,374.83471036821186
36,365.41665782713335
37,197.6101610738886
38,393.40397341968446
39,128.3245424568801
40,626.4095925653538
41,276.43943687489644
42,596.5984064552018
43,340.8925222980373
44,371.6909962325133
45,416.1839181585928
46,18.30509137052638
47,353.9707986093099
48,268.14636618268344
49,206.60525967082663
50,221.5460043728769
51,530.986758221381
52,415.75696879925215
53,187.76878229295602
54,248.00109387927742
55,351.04900238623907
56,611.516063529412
57,598.7445950960498
58,298.18966296446604
59,200.65896279146378
60,507.6299610187475
61,598.0013038496209
62,134.0269791076943
63,549.8611287012495
64,550.3094412579889
65,53.18432829167727
66,400.5091802359967
67,263.72758363192315
68,430.6434497401207
69,369.3432650134298
70,172.02256399506942
71,519.469935504148
72,262.66602190222653
73,250.81587223928491
74,314.47697975095025
75,230.23234326917188
76,277.7946212662824
77,501.44173818760265
78,379.98268960211453
79,369.00839907030553
80,204.92456890251793
81,495.3612347703594
82,526.7906449628559
83,534.0510637827796
84,242.6238348396847
85,293.0490186084952
86,314.3182328702695
87,304.0187763700369
88,659.3940330346142
89,371.41111169178913
90,316.739921342342
91,339.85749905036704
92,290.64870961969103
93,472.54830816228554
94,388.0553109950986
95,422.8577168613283
96,257.66347635636146
97,353.08022531277805
98,267.9027923591466
99,86.70419379471524
100,140.53465337680922
101,120.23443106394298
102,408.92458084209215
103,202.64829377373079
104,351.3552675235871
105,133.65406735026454
106,260.7586578234288
107,427.6324203194336
108,255.0757273183811
109,205.32778403616402
110,579.908173524605
111,565.9651894667456
112,466.2736682633654
113,381.7048995660887
114,332.5266707182836
115,251.36373226938773
116,221.33598447505022
117,402.3891429381918
118,435.28203918199324
119,232.99735142551728
120,265.0852288776198
121,217.58729021870366
122,385.06026426273655
123,148.60784957252804
124,651.2041547893551
125,379.80875742559084
126,-25.14556322422274
127,164.68733843343043
128,376.7421130279877
129,309.7954430101309
130,409.63268920178456
131,377.36379518640905
132,359.2309308992563
133,174.09401950406703
134,260.80116933255385
135,283.6978835771102
136,395.12352991489627
137,405.5226642770735
138,191.06237273057596
139,395.76157972413915
140,261.06821953226887
141,225.31627463668462
142,184.12650109044776
143,524.6885446735095
144,280.1447736735021
145,328.6541603291627
146,244.72928534988836
147,507.3304413706438
148,269.46941674980377
149,315.6198800785546
150,188.62009846741228
151,486.35801653633337
152,307.84663688564433
153,698.1604552689679
154,187.5778143270159
155,337.9625655780894
156,366.30147033442876
157,406.4810616560575
158,215.97857023763046
159,281.6679219956199
160,292.12186497088686
161,411.21154350705103
162,415.04968199364095
163,154.78636591666597
164,592.1778411996357
165,415.5295445021937
166,504.34400744095154
167,231.9319201244207
168,258.0677184537598
169,408.57484461838095
170,358.37318035230754
171,250.6041977143516
172,550.6567817409675
173,268.9736686473807
174,253.8813190842684
175,470.1889172011796
176,693.7364621110635
177,272.1590360655999
178,266.3801170225744
179,22.544084645104643
180,142.5161466337477
181,258.8267295818182
182,246.81047635589456
183,302.0552587920939
184,289.9837462787571
185,85.0431029530853
186,291.9667865167941
187,231.33297364644804
188,156.08087964848914
189,154.27351834173572
190,267.4045548597757
191,522.7724942805213
192,220.20283680872672
193,119.84151177253518
194,266.40633603622035
195,582.356987610735
196,444.6204029040732
197,489.3585263495084
198,229.78926381392972
199,684.8243388653528
200,485.74339857512444
201,645.6524474761948
202,145.13582757963854
203,539.7564517750749
204,166.5222361642251
205,440.246724996943
206,388.5448276179749
207,413.1586095173864
208,385.5596950388482
209,309.2627955917893
210,263.81636958643776
211,497.9304362676777
212,223.18976268648495
213,221.8346100874432
214,220.9564440659936
215,92.54501415448254
216,325.9192339218295
217,232.73362871356275
218,223.04108371536873
219,217.61884232422503
220,297.16559220497305
221,137.5113683595439
222,294.72617104255147
223,569.8130000983806
224,621.0434289695627
225,365.14587197395247
226,339.6404269606511
227,350.5255020023364
228,367.94493612042015
229,328.29833436170514
230,202.41490886401087
231,499.6696425423959
232,229.08478692868036
233,92.76745839939679
234,192.13915417024694
235,272.9755902641915
236,-12.696730991821335
237,182.85868459199352
238,390.31508813566995
239,444.08091112834734
240,523.8455965152389
241,206.78453331610953
242,567.6285886759985
243,17.3619901863898
244,429.6816192703543
245,526.079290802462
246,390.01799160459353
247,498.8248243863462
248,360.4602219582829
249,450.9928146295919
250,417.28303095583595
251,256.89694921929913
252,234.83833678684903
253,98.43293154158695
254,599.2542899585771
255,375.99655239845885
256,489.29491365489
257,345.03877623523573
258,305.98749565486315
259,242.9004335670257
260,386.7366491999546
261,285.6821909602235
262,508.6989895454588
263,165.28492979459455
264,340.6112776351602
265,249.83364273993365
266,273.75420454889496
267,194.21496843369974
268,440.2530591713605
269,640.586203570784
270,334.1834452362372
271,200.38123865943993
272,320.9647592873474
273,255.53750050109355
274,500.40491349200414
275,470.67076588285164
276,341.56115424289413
277,280.63806329184536
