,LGd
0,447.61526464486434
1,435.3249043368485
2,346.81609406554855
3,419.85981817707534
4,653.3558506071861
5,576.6839674590686
6,357.91678804176263
7,286.75419231434864
8,579.237441481959
9,314.615035429483
10,556.2183983424792
11,429.98641095734274
12,541.2787079301092
13,308.4725040799308
14,407.85139192047075
15,374.3789671710586
16,645.8885128305103
17,314.20143860053474
18,529.6081297853095
19,434.3045296597537
20,420.96351386840166
21,521.7118721194103
22,411.886865107677
23,422.0131504037302
24,407.2020259795581
25,361.61206878890204
26,433.40641560147463
27,547.4971822275186
28,493.70519040861353
29,318.1069360979314
30,542.7052526558164
31,453.2354717767646
32,461.5034010588738
33,436.3202664015378
34,570.9929590513899
35,525.0595579272884
36,387.0153299258183
37,357.24106747379386
38,610.8122136273767
39,418.0891667784397
40,443.09574696268027
41,610.8576893569754
42,326.7249536533051
43,544.9763716321615
44,286.51672816486274
45,397.34770825201645
46,397.83555203274295
47,322.47142607414213
48,597.07395745506
49,522.8359804499007
50,404.3521829059694
51,520.7699273291
52,633.1330571009146
53,517.7267590966808
54,430.7400895287449
55,530.6158849059713
56,402.5180996394562
57,464.4715135726392
58,414.32853025722613
59,603.9254244394841
60,290.4334146642703
61,572.3706299767683
62,419.5810130041436
63,488.87285876953325
64,478.1144969828725
65,339.2793974303477
66,368.10388195966726
67,411.09224564676657
68,353.64476048753255
69,253.38840759870553
70,773.777331581409
71,404.298332129346
72,599.2651575168543
73,339.3878198482742
74,326.39448486866524
75,494.0728353529641
76,464.6113474880939
77,641.095089368158
78,289.81729381029805
79,445.7802330079986
80,486.4663958727726
81,482.758220233956
82,268.4185569960146
83,564.2849979700183
84,515.7032603706829
85,509.6173648329367
86,681.9712552543779
87,364.09827250751334
88,630.687256548268
89,454.8869161248797
90,572.8728372900007
91,160.59427667954125
92,410.06039441845957
93,474.1095919889961
94,467.01089759099193
95,268.1713157087394
96,635.4531010966417
97,321.47401232001494
98,315.34497749940016
99,411.1900693272684
100,386.79343664065584
101,479.95990799082074
102,607.5974465141472
