group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
10,BRAC2704_6c,2860,2729,V1,RETRO,2,1.0,PM/V1,1,38.0,11.5,613.0,46.0,185.0,190.0,56.0,181.5,382.5,77.0,60.5,37.0,56.0,49.0,50.0,86.0,11.5,41.0,3.5,134.0,29.5,34.5,21.0,1.0
1,ERAD25_1a,2548,2451,V1,GLT,3,1.0,V1,1,1.6666666666666667,1.3333333333333333,270.0,2.6666666666666665,122.66666666666667,145.66666666666666,89.66666666666667,20.666666666666668,238.33333333333334,18.333333333333332,2.3333333333333335,3.3333333333333335,7.666666666666667,21.333333333333332,28.333333333333332,73.0,3.6666666666666665,52.666666666666664,33.333333333333336,56.0,4.666666666666667,3.6666666666666665,5.0,1.6666666666666667
2,ERAD25_1b,9059,8418,PM,GLT,8,1.0,PM,1,32.0,6.0,349.625,22.25,253.5,227.75,203.625,123.75,154.375,84.25,48.0,42.0,21.0,44.375,83.75,125.375,22.125,51.375,130.125,24.125,39.0,14.75,4.125,5.625
10,BRAC2704_6d,8465,7486,V1,RETRO,13,1.0,V1,1,22.23076923076923,14.76923076923077,129.23076923076923,22.692307692307693,144.92307692307693,52.15384615384615,33.0,114.23076923076923,72.15384615384616,14.76923076923077,11.153846153846153,16.307692307692307,14.846153846153847,29.307692307692307,46.30769230769231,69.3076923076923,12.538461538461538,15.76923076923077,4.6923076923076925,19.153846153846153,10.538461538461538,29.0,11.76923076923077,3.230769230769231
9,ERAE26_6e,7223,6860,PM,RBP,16,1.0,V1,1,9.5625,3.0,187.375,8.125,87.0625,61.875,49.9375,47.0,118.3125,33.4375,10.4375,13.9375,11.25,21.5,34.5,31.0625,1.625,12.3125,36.0,11.9375,15.375,5.8125,3.125,2.0
3,ERAD26_3d,8882,8735,PM,GLT,17,1.0,V1,1,11.941176470588236,4.352941176470588,234.7058823529412,13.058823529411764,62.470588235294116,90.3529411764706,69.88235294117646,50.294117647058826,156.23529411764707,37.05882352941177,17.352941176470587,10.235294117647058,13.823529411764707,9.235294117647058,19.58823529411765,33.64705882352941,3.0,22.647058823529413,44.23529411764706,20.470588235294116,12.058823529411764,4.9411764705882355,2.7058823529411766,1.2352941176470589
4,ERAB23_1a,6119,5801,V1,TLX,18,1.0,V1,1,2.0,1.6111111111111112,159.5,4.111111111111111,20.77777777777778,72.61111111111111,35.888888888888886,16.666666666666668,137.33333333333334,5.944444444444445,13.166666666666666,1.0,2.0555555555555554,2.8333333333333335,7.888888888888889,10.055555555555555,0.1111111111111111,13.61111111111111,22.166666666666668,36.72222222222222,5.666666666666667,1.8888888888888888,0.5,0.8888888888888888
4,ERAB13_1e,20927,19902,V1,TLX,25,1.0,V1,1,17.16,13.48,227.72,45.72,162.76,143.68,120.84,143.96,121.0,19.72,30.08,30.92,26.0,31.08,64.72,66.96,7.92,29.72,83.2,22.84,41.4,9.04,8.76,8.4
5,ERAB23_1b,7785,7373,PM,TLX,63,1.0,PM,1,1.1428571428571428,1.1587301587301588,40.142857142857146,3.2063492063492065,25.206349206349206,23.41269841269841,22.61904761904762,12.619047619047619,15.968253968253968,10.936507936507937,5.777777777777778,4.904761904761905,2.5555555555555554,4.031746031746032,8.571428571428571,12.603174603174603,1.8888888888888888,6.2063492063492065,14.523809523809524,0.7936507936507936,4.301587301587301,1.8095238095238095,0.3968253968253968,0.6031746031746031
10,ERAA10_4h,8343,7708,V1,RETRO,100,1.0,V1,1,3.9,1.71,18.38,3.59,12.18,11.18,7.56,16.41,10.2,1.82,1.47,2.32,2.57,3.45,3.98,4.75,0.98,3.49,3.09,3.62,1.96,2.81,1.42,1.02
5,ERAB23_3g,21159,20182,PM,TLX,117,1.0,PM,1,6.452991452991453,1.9059829059829059,53.085470085470085,4.239316239316239,42.256410256410255,30.05128205128205,27.324786324786324,25.435897435897434,24.803418803418804,7.7094017094017095,10.675213675213675,7.162393162393163,2.735042735042735,11.247863247863247,15.273504273504274,15.735042735042734,2.0854700854700856,5.3418803418803416,19.897435897435898,2.7264957264957266,6.6239316239316235,3.5811965811965814,1.1367521367521367,1.4957264957264957
11,BRAC3859_1b,17219,16740,PM,RETRO,122,0.975409836,PM,1,2.942622950819672,1.4098360655737705,50.15573770491803,3.442622950819672,31.69672131147541,15.680327868852459,14.967213114754099,26.40983606557377,27.74590163934426,6.967213114754099,6.229508196721311,6.631147540983607,2.581967213114754,5.590163934426229,10.729508196721312,15.37704918032787,2.4098360655737703,4.336065573770492,8.221311475409836,0.7131147540983607,12.352459016393443,4.844262295081967,0.8934426229508197,0.5245901639344263
