group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
2,ERAD25_1b,9059,8418,PM,GLT,8,1.0,PM,1,0.030411023996198622,0.005702066999287242,0.332264195770967,0.021145165122356854,0.24091233071988596,0.21644095984794487,0.19351389878831077,0.11760513186029936,0.14670943216916132,0.08006652411499168,0.045616535994297935,0.03991446899501069,0.019957234497505347,0.04217153718222856,0.07959135186505108,0.11914944167260633,0.021026372059871703,0.04882394868139701,0.12366357804704205,0.022927061059634116,0.03706343549536707,0.014017581373247802,0.003920171062009979,0.005345687811831789
5,ERAB23_1b,7785,7373,PM,TLX,63,1.0,PM,1,0.009765360097653601,0.009900990099009901,0.3430082734300827,0.0273972602739726,0.21538044215380442,0.20005425200054253,0.19327275193272753,0.10782585107825851,0.13644378136443783,0.09344907093449072,0.049369320493693206,0.041909670419096705,0.021836430218364303,0.034450020344500204,0.073240200732402,0.10769022107690221,0.016139970161399703,0.05303133053031331,0.12410145124101452,0.006781500067815,0.036755730367557304,0.015461820154618201,0.0033907500339075,0.0051539400515394004
5,ERAB23_3g,21159,20182,PM,TLX,117,1.0,PM,1,0.03740957288673075,0.01104945000495491,0.3077494797344168,0.02457635516797146,0.24497076602913487,0.17421464671489445,0.1584084828064612,0.14745813100782876,0.14379149737389754,0.044693291051431966,0.061886829848379746,0.04152214844911307,0.01585571301159449,0.06520661976018234,0.08854424734912299,0.09121989891982955,0.012089981171340799,0.03096818947577049,0.11535031215934992,0.015806163908433257,0.0384005549499554,0.020761074224556534,0.00659003072044396,0.008671093053215737
11,BRAC3859_1b,17219,16740,PM,RETRO,122,0.975409836,PM,1,0.02144563918757467,0.01027479091995221,0.365531660692951,0.025089605734767026,0.23100358422939068,0.11427718040621267,0.10908004778972522,0.1924731182795699,0.20221027479091996,0.05077658303464755,0.04540023894862605,0.0483273596176822,0.01881720430107527,0.040740740740740744,0.07819593787335723,0.11206690561529271,0.01756272401433692,0.031600955794504185,0.05991636798088411,0.005197132616487455,0.09002389486260454,0.03530465949820789,0.006511350059737156,0.0038231780167264037
11,ERAA10_4j,14502,13747,PM,RETRO,207,0.93236715,PM,1,0.0369535171310104,0.0176765839819597,0.21713828471666546,0.04837419073252346,0.13079217283771005,0.15617953007929003,0.11457045173492399,0.20469920709973086,0.08583690987124463,0.011056957881719648,0.05557576198443297,0.021750200043645886,0.04291845493562232,0.02342329235469557,0.04990179675565578,0.057467083727358696,0.021386484323852477,0.051574889066705466,0.04160907834436604,0.04160907834436604,0.006837855532116098,0.06059503891758202,0.01964064886884411,0.01462137193569506
9,ERAE25_3a,73537,67146,PM,RBP,320,0.959375,PM,1,0.040523635063890624,0.030098591129776905,0.29233312483245466,0.05983975218181277,0.1714472939564531,0.1024037172728085,0.08060048253060495,0.23384862836207668,0.180159652101391,0.02933905221457719,0.03251124415452894,0.02461799660441426,0.025705179757543262,0.040478956304172996,0.05188693295207458,0.07908140470020553,0.01181008548536026,0.020313942751615882,0.04847645429362881,0.021803234742203557,0.03301760343132874,0.0353557918565514,0.023947815208649807,0.011065439490066423
8,ERAE26_6c,22528,21190,PM,RBP,338,1.0,PM,1,0.049504483246814536,0.025200566304860783,0.20169891458235018,0.05125058990089665,0.14487966021708354,0.19929211892402077,0.16106654082114205,0.26040585181689474,0.08593676262387918,0.027890514393581877,0.04346389806512506,0.020575743275129777,0.02383199622463426,0.038886267107126005,0.0340726757904672,0.07192071731949033,0.01755545068428504,0.043983010854176496,0.09952807928268051,0.038225578102878716,0.06559697970740916,0.03525247758376593,0.015384615384615385,0.018216139688532328
8,ERAE23_3c,94211,80873,PM,RBP,482,0.9336099585062241,PM,1,0.015209031444363384,0.027091860076910713,0.23723616039963893,0.03169166470886452,0.2152387076032792,0.09832700654112003,0.09136547426211468,0.20759709668245274,0.1292520371446589,0.04081708357548255,0.02892188987672029,0.02620157530943578,0.012043574493341412,0.055111100119941143,0.07307754133023382,0.08705006615310425,0.012476351810863947,0.02100824749916536,0.05788087495208537,0.006961532279005354,0.0563476067414341,0.05530894117938002,0.010102259097597467,0.011845733433902538
5,ERAB13_5b,58183,53162,PM,TLX,516,1.0,PM,1,0.02498024905007336,0.025901960046649863,0.3184793649599338,0.050280275384673265,0.22058989503780896,0.11229825815432075,0.1066927504608555,0.20667017794665363,0.17811594748128362,0.061340807343591285,0.02988977088898085,0.03291824987773222,0.01621458936834581,0.04495692411873142,0.07836424513750423,0.0972687257815733,0.01397614837666002,0.029156164177419962,0.06356043790677551,0.0056055076934652575,0.04042361084985516,0.039407847710770855,0.013994958805161582,0.011681276099469546
5,ERAB13_5d,50822,48214,PM,TLX,776,1.0,PM,1,0.037686149251254825,0.021777906832040485,0.4142365288090596,0.05091882025967561,0.17457584933836645,0.10611025843116108,0.08804496619239226,0.17930476625046668,0.22246650350520597,0.08991164392085287,0.04011283029825362,0.03138092670178786,0.030364624382959306,0.040693574480441363,0.06124777035715767,0.07263450450076742,0.008690421869166631,0.02190235201393786,0.05745219230928776,0.01806529223876882,0.020118637740075496,0.025739411789106898,0.017235657692786326,0.005828182685527025
