group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
1,ERAD25_1a,2548,2451,V1,GLT,3,1.0,V1,1,0.002039983680130559,0.0016319869441044472,0.33047735618115054,0.0032639738882088943,0.15014279885760914,0.17829457364341086,0.10975112199102408,0.02529579763361893,0.2917176662586699,0.022439820481436147,0.0028559771521827824,0.004079967360261118,0.009383924928600572,0.026111791105671155,0.0346797225622195,0.08935128518971848,0.00448796409628723,0.06446348429212566,0.04079967360261118,0.06854345165238677,0.005711954304365565,0.00448796409628723,0.006119951040391677,0.002039983680130559
10,BRAC2704_6d,8465,7486,V1,RETRO,13,1.0,V1,1,0.03860539674058242,0.02564787603526583,0.224418915308576,0.03940689286668448,0.25166978359604597,0.09056906224953246,0.057306973016297086,0.19837029121025915,0.12530056104728826,0.02564787603526583,0.019369489714133048,0.028319529788939354,0.025781458722949506,0.05089500400748063,0.08041677798557308,0.12035800160299225,0.02177397809243922,0.02738445097515362,0.008148543948704248,0.03326208923323537,0.01830082821266364,0.050360673256745925,0.020438151215602458,0.0056104728827144
9,ERAE26_6e,7223,6860,PM,RBP,16,1.0,V1,1,0.02230320699708455,0.006997084548104956,0.4370262390670554,0.018950437317784258,0.2030612244897959,0.14431486880466474,0.11647230320699709,0.10962099125364431,0.2759475218658892,0.07798833819241982,0.024344023323615162,0.03250728862973761,0.026239067055393587,0.05014577259475218,0.080466472303207,0.07244897959183673,0.0037900874635568515,0.028717201166180758,0.08396501457725948,0.027842565597667637,0.0358600583090379,0.013556851311953352,0.007288629737609329,0.004664723032069971
3,ERAD26_3d,8882,8735,PM,GLT,17,1.0,V1,1,0.023239839725243273,0.008471665712650258,0.4567830566685747,0.025414997137950774,0.12157985117344018,0.17584430452203778,0.13600457927876358,0.09788208357183743,0.30406410990269034,0.07212364052661706,0.03377218088151116,0.019919862621637092,0.026903262736119062,0.01797366914710933,0.038122495706926156,0.0654836863194047,0.005838580423583286,0.044075558099599316,0.08609044075558099,0.039839725243274185,0.02346880366342301,0.009616485403548942,0.005266170578133944,0.0024041213508872354
4,ERAB23_1a,6119,5801,V1,TLX,18,1.0,V1,1,0.006205826581623858,0.004999138079641441,0.49491466988450267,0.012756421306671263,0.06447164282020341,0.22530598172728838,0.1113601103258059,0.05171522151353215,0.42613342527150494,0.0184450956731598,0.040855024995690395,0.003102913290811929,0.006378210653335632,0.008791587657300466,0.024478538183071885,0.031201516979831062,0.0003447681434235477,0.042234097569384586,0.06878124461299776,0.1139458714014825,0.01758317531460093,0.00586105843820031,0.0015514566454059645,0.0027581451473883815
4,ERAB13_1e,20927,19902,V1,TLX,25,1.0,V1,1,0.021555622550497436,0.016932971560647173,0.28605165310019093,0.057431413928248416,0.20445181388805145,0.18048437342980606,0.15179378956888756,0.18083609687468596,0.1519947743945332,0.024771379760828056,0.037785147221384784,0.03884031755602452,0.03266003416742036,0.03904130238167018,0.08129836197367099,0.08411214953271028,0.009948748869460356,0.03733293136368204,0.10451210933574515,0.028690583860918502,0.052004823635815496,0.011355642648980003,0.01100391920410009,0.010551703346397347
10,ERAA10_4h,8343,7708,V1,RETRO,100,1.0,V1,1,0.050596782563570315,0.022184743124026986,0.23845355474831345,0.04657498702646601,0.1580176440062273,0.14504411001556825,0.09807991696938247,0.2128956927867151,0.13233004670472237,0.02361183186299948,0.01907109496626881,0.03009859885832901,0.033341982355993775,0.04475869226777374,0.05163466528282304,0.06162428645563051,0.012714063310845874,0.0452776336274001,0.04008822003113648,0.04696419304618578,0.02542812662169175,0.036455630513751947,0.01842241826673586,0.013233004670472236
7,ERAE28_9b,21726,20464,V1,RBP,162,1.0,V1,1,0.03244722439405786,0.03723612197028929,0.2621677091477717,0.048915168100078184,0.1203577013291634,0.15715402658326819,0.08810594214229867,0.2081704456606724,0.15202306489444878,0.029222048475371385,0.04383307271305707,0.01563721657544957,0.021452306489444878,0.017396403440187648,0.047400312744331506,0.055560985144644255,0.0027853792025019546,0.02120797498045348,0.06411258795934324,0.0690480844409695,0.03269155590304926,0.029222048475371385,0.018471462079749805,0.009186864738076622
7,ERAE28_2e,41487,39047,V1,RBP,908,1.0,V1,1,0.046175122288524086,0.0350347017696622,0.39229646323661227,0.06005583015340487,0.09493687095039312,0.09716495505416549,0.0688913360821574,0.22611212128972777,0.28627039209158195,0.023715010116014033,0.03905549722129741,0.017619791533280405,0.025635772274438497,0.02763336491919994,0.030015109995646272,0.03728839603554691,0.0029707788050298356,0.01938689271903091,0.046533664558096655,0.028273618972008092,0.017338079750044817,0.028683381565805313,0.030476092913668144,0.008348912848618332
7,ERAE26_2c,49479,44634,V1,RBP,1140,0.999122807,V1,1,0.01767710713805619,0.02289734283281803,0.2982703768427656,0.06400949948469777,0.11466594972442533,0.11551731863601739,0.07673522426849487,0.1993995608728772,0.1949858851996236,0.019447058296365997,0.054017116996012006,0.008849755791549044,0.020970560559214948,0.022157996146435453,0.0425236366895192,0.04998431688847067,0.00699018685307165,0.020522471658377024,0.0492225657570462,0.038782094367522515,0.03362907200788637,0.02910337410942331,0.02787112963211901,0.004212035667876507
