group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
2,ERAD25_1b,9059,8418,PM,GLT,8,1.0,PM,1,256,48,2797,178,2028,1822,1629,990,1235,674,384,336,168,355,670,1003,177,411,1041,193,312,118,33,45
5,ERAB23_1b,7785,7373,PM,TLX,63,1.0,PM,1,72,73,2529,202,1588,1475,1425,795,1006,689,364,309,161,254,540,794,119,391,915,50,271,114,25,38
5,ERAB23_3g,21159,20182,PM,TLX,117,1.0,PM,1,755,223,6211,496,4944,3516,3197,2976,2902,902,1249,838,320,1316,1787,1841,244,625,2328,319,775,419,133,175
11,BRAC3859_1b,17219,16740,PM,RETRO,122,0.975409836,PM,1,359,172,6119,420,3867,1913,1826,3222,3385,850,760,809,315,682,1309,1876,294,529,1003,87,1507,591,109,64
11,ERAA10_4j,14502,13747,PM,RETRO,207,0.93236715,PM,1,508,243,2985,665,1798,2147,1575,2814,1180,152,764,299,590,322,686,790,294,709,572,572,94,833,270,201
9,ERAE25_3a,73537,67146,PM,RBP,320,0.959375,PM,1,2721,2021,19629,4018,11512,6876,5412,15702,12097,1970,2183,1653,1726,2718,3484,5310,793,1364,3255,1464,2217,2374,1608,743
8,ERAE26_6c,22528,21190,PM,RBP,338,1.0,PM,1,1049,534,4274,1086,3070,4223,3413,5518,1821,591,921,436,505,824,722,1524,372,932,2109,810,1390,747,326,386
8,ERAE23_3c,94211,80873,PM,RBP,482,0.9336099585062241,PM,1,1230,2191,19186,2563,17407,7952,7389,16789,10453,3301,2339,2119,974,4457,5910,7040,1009,1699,4681,563,4557,4473,817,958
5,ERAB13_5b,58183,53162,PM,TLX,516,1.0,PM,1,1328,1377,16931,2673,11727,5970,5672,10987,9469,3261,1589,1750,862,2390,4166,5171,743,1550,3379,298,2149,2095,744,621
5,ERAB13_5d,50822,48214,PM,TLX,776,1.0,PM,1,1817,1050,19972,2455,8417,5116,4245,8645,10726,4335,1934,1513,1464,1962,2953,3502,419,1056,2770,871,970,1241,831,281
8,ERAE28_2a,88537,79594,PM,RBP,1488,0.999327957,PM,1,3195,2486,21693,4893,13322,8906,7851,20923,12637,1521,3759,1768,2008,2728,4859,5735,826,1787,5238,1055,3741,3876,1563,1169
