group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
1,ERAD25_1a,2548,2451,V1,GLT,3,1.0,V1,1,5,4,810,8,368,437,269,62,715,55,7,10,23,64,85,219,11,158,100,168,14,11,15,5
10,BRAC2704_6d,8465,7486,V1,RETRO,13,1.0,V1,1,289,192,1680,295,1884,678,429,1485,938,192,145,212,193,381,602,901,163,205,61,249,137,377,153,42
9,ERAE26_6e,7223,6860,PM,RBP,16,1.0,V1,1,153,48,2998,130,1393,990,799,752,1893,535,167,223,180,344,552,497,26,197,576,191,246,93,50,32
3,ERAD26_3d,8882,8735,PM,GLT,17,1.0,V1,1,203,74,3990,222,1062,1536,1188,855,2656,630,295,174,235,157,333,572,51,385,752,348,205,84,46,21
4,ERAB23_1a,6119,5801,V1,TLX,18,1.0,V1,1,36,29,2871,74,374,1307,646,300,2472,107,237,18,37,51,142,181,2,245,399,661,102,34,9,16
4,ERAB13_1e,20927,19902,V1,TLX,25,1.0,V1,1,429,337,5693,1143,4069,3592,3021,3599,3025,493,752,773,650,777,1618,1674,198,743,2080,571,1035,226,219,210
10,ERAA10_4h,8343,7708,V1,RETRO,100,1.0,V1,1,390,171,1838,359,1218,1118,756,1641,1020,182,147,232,257,345,398,475,98,349,309,362,196,281,142,102
7,ERAE28_9b,21726,20464,V1,RBP,162,1.0,V1,1,664,762,5365,1001,2463,3216,1803,4260,3111,598,897,320,439,356,970,1137,57,434,1312,1413,669,598,378,188
7,ERAE28_2e,41487,39047,V1,RBP,908,1.0,V1,1,1803,1368,15318,2345,3707,3794,2690,8829,11178,926,1525,688,1001,1079,1172,1456,116,757,1817,1104,677,1120,1190,326
7,ERAE26_2c,49479,44634,V1,RBP,1140,0.999122807,V1,1,789,1022,13313,2857,5118,5156,3425,8900,8703,868,2411,395,936,989,1898,2231,312,916,2197,1731,1501,1299,1244,188
3,ERAQ2_3j,80876,74490,V1,TLX,1474,0.999321574,V1,1,1916,2575,24858,5035,14305,7012,5776,15989,18231,2192,1047,2279,1109,3466,5449,5390,655,1374,3747,1236,2598,1815,1268,782
7,ERAE28_2c,85427,77524,V1,RBP,1900,0.998421053,V1,1,4213,2291,23647,4762,7786,7419,5234,19740,16233,1359,2703,765,2587,1802,3001,2983,423,1377,3434,2185,1910,2539,3153,872
