,area,linear,power-law,exponential,lognormal,quadratic,growth,hill
0,PTLp,377.2820333139756,376.2861818049716,378.9974823016706,392.5674222951483,393.366191863436,379.31054393906714,392.3840558968334
1,TEa,368.8445333023109,362.3699887233797,376.69923463796414,377.50838619650835,380.6834098287588,361.5186968631765,377.6156870748132
2,VIS,493.6215996631669,483.7396833559956,502.29674003295906,499.13690908533954,500.71052807959336,482.6404011397442,498.68559713990817
3,AUD,391.9454230587531,386.1123652493983,403.4425197284623,402.1647398803097,404.493596618237,387.41142439478546,402.20641246334685
4,RSP,486.7794079528197,479.18856390263176,489.86821732583223,491.1806949623304,494.4614307893097,476.23517295773826,490.8069977358715
5,Thal,435.9213133224762,424.68009913848323,441.3988576241478,440.3767984604204,444.7547315367721,425.9999210019151,440.2475980297887
6,Thal_noLGd,434.58586509939875,424.9775528678216,438.79445944734016,440.0381605975129,443.2094701763974,424.2525069429409,439.8754038955712
7,Dist_ctx,479.891186943261,473.4659937526751,486.76057625895027,489.30690540977764,493.3073267394075,473.95862927019937,489.4676903522266
8,VISp,462.83056375299105,456.9171005479246,473.24812112427344,473.0145133512925,473.26949876884584,457.3056117704971,472.88256422291516
9,VISpm,410.71816175934555,404.60035413442404,412.5477939959548,407.03136611312067,413.8833064206208,401.6207449880329,414.3116763130252
10,VISl,383.0224004866062,374.4532160682226,388.4513185119003,389.72794318765943,393.3623043711287,373.847122704955,389.65757937886514
11,VISam,380.46425665577044,372.58371784875044,382.77236965598917,384.36175544999685,386.6248620396286,369.4743024432655,385.393516060651
12,VISal,352.60142355429633,350.23693128757014,355.64853900510593,366.50536528263063,368.4873322422291,353.3736130867768,366.3348188282886
13,RSPagl,410.8149538695134,403.7410762653417,413.55659795324925,413.5978110220047,418.3188278064898,400.29264409948723,413.48169037838136
14,RSPd,426.78664612985284,419.9577651127138,430.3262620713954,433.78359908573583,435.83746290033133,417.88592798653735,433.2620681178082
15,RSPv,436.99881922999236,428.9972470529587,439.77453967792644,440.6565219575042,444.09897705038196,425.8624045406544,440.6330876060052
16,AM,331.86498040526067,324.2477466202849,333.56318112828916,334.7327793960977,341.4723742480394,320.29273919504095,334.1237576083076
17,LD,348.3006619976237,334.62707759538415,352.77811879763453,349.4559066268226,355.14277899759753,335.11039829038083,349.28020708734505
18,LP,411.80072401048295,404.27874514465367,416.15368893768294,419.89197160191827,421.6504462634131,404.1222218764733,419.7452230665071
19,LGd,349.1337848317034,350.4140925533495,350.6258577993814,366.8155017790592,365.21335704023204,355.2538495346602,366.511989054485
20,ORB,404.70557871906107,399.0254079442209,407.1837820372738,413.6131836755078,416.78510293104404,397.38018485728156,413.3469934684232
21,ACA,402.2357588433931,396.86204917754714,405.5771488556564,410.8632858215048,414.66180811667937,394.82777571791263,408.84756378039555
22,MOs,346.9905434302031,347.591813285154,346.59791047821466,363.95249531132464,361.9964283423428,348.00205161055817,363.6896594432056
23,CLA,328.07970658649265,323.09137881874324,331.71139815563254,338.49158744449494,342.18886789150474,322.2821242604972,337.37341952953864
