,area,linear,power-law,exponential,quadratic,growth,hill,dataset
Allen,input,16.114337511515885,8.955342227881363,26.12891454124125,23.272846010087427,12.531131454096247,25.047631330310814,data_Allen
Beier,input,1358.9854963094049,1345.3260711470634,1366.246749777449,1355.2890740101045,1335.3217013132307,1346.5143956004238,data_Beier
Brown,input,268.1249172921157,266.06286095458825,268.1254343813164,275.87739800658085,263.86172488707433,280.1372308610125,data_Brown
Fu,input,310.2263655182862,309.14454485073344,327.3176160711909,323.56730808170175,310.4309800591399,325.3718341864667,data_Fu
Gehrlach,input,361.03854802999814,359.7646711481306,361.3564346017256,375.269316486556,358.72653921245933,374.3144477906319,data_Gehrlach
Graham_interneuron,input,261.7613576045908,261.16599589086695,275.402864083968,276.3522842565092,260.612376246087,276.64962929147146,data_Graham_interneuron
Graham_projection,input,263.93899466413194,263.6471822411113,276.7249349348936,280.16633263475455,264.559113005929,279.9805443186301,data_Graham_projection
Hafner,input,122.08961766438026,122.0921497109419,131.2243971359324,140.03038127617467,122.09974368491541,140.09215294935598,data_Hafner
Kim_2015,input,184.33398202348653,182.27827355041006,185.08376275295453,191.86230796282746,180.3352767223578,189.46782359614403,data_Kim_2015
Pouchelon,input,765.3200035840831,764.9456668551242,769.5836857512638,781.3647631862818,765.6011046485954,781.0057628010433,data_Pouchelon
Pouchelon_P30,input,400.7958280657545,399.2432203574097,403.97970896750877,412.1992719995143,398.0453283884617,413.631055488327,data_Pouchelon_P30
Pouchelon_P5,input,380.6007192071822,380.1271822510522,409.06269571681787,395.9738015328146,381.0697811736439,396.2855316686797,data_Pouchelon_P5
Sunetal,input,457.8909523265816,440.04491393105775,425.567485841739,449.37244996400716,462.1516003008649,456.1427920684209,data_Sunetal
Takatoh,input,195.8999008950479,196.62969289858165,199.89627497341533,211.4750441170772,197.77186027115425,213.0225828553495,data_Takatoh
Vinograd,input,152.22470741878413,151.49124628343753,152.29644749491914,167.8562627870518,150.67016626190062,166.95604802484712,data_Vinograd
Wee,input,317.33917852596915,314.61732127946544,320.2385413838749,332.1675378217269,316.6119204028745,330.77570645779633,data_Wee
