,ID,starter,input,condition
0,658981237,4,1.505802861,Sepw1-Cre_NP39-361483
1,728652601,4,0.188841832,Scnn1a-Tg3-Cre;ROSA26-ZtTA;Ai133-385511
2,716515245,6,0.515097693,Sim1-Cre_KJ18-381895
3,742982919,9,0.806413641,Scnn1a-Tg3-Cre;ROSA26-ZtTA;Ai90-392886
4,658979743,15,1.286625034,Sepw1-Cre_NP39-361480
5,722879042,18,1.105086725,Nr5a1-Cre-385128
6,660027849,21,0.925064416,Ntsr1-Cre_GN220-363928
7,660759241,28,2.301293085,Tlx3-Cre_PL56;APP_PS1-362386
8,716774573,39,1.996424609,Sim1-Cre_KJ18-381894
9,713926018,55,0.789101712,Sst-IRES-Cre;Ai32-380117
10,658329576,62,3.216334888,A930038C07Rik-Tg1-Cre-360388
11,681577169,73,1.293835354,Vip-IRES-Cre-374498
12,658807523,104,3.355931784,A930038C07Rik-Tg1-Cre-360389
13,706775092,125,2.40228426,Ntsr1-Cre_GN220-381013
14,657506101,186,3.157187845,Cux2-IRES-Cre-358005
15,692649578,230,5.066103507999999,Tlx3-Cre_PL56-378394
16,728653849,262,3.3931451399999997,Pvalb-IRES-Cre;Ai32-384879
17,657424915,359,5.95863814,Cux2-IRES-Cre-358004
18,722319491,399,5.635330138,Rbp4-Cre_KL100-384559
19,667485032,618,5.703997084,Rbp4-Cre_KL100-368446
