,ID,starter,input,condition,cell_type
0,56_Amy 4,1.0413926851582251,2.7427251313046983,GAD2-Cre cTRIO,unknown
1,65_mPFC 1,1.0413926851582251,2.649334858712142,vGluT2-Cre cTRIO,unknown
2,66_mPFC 2,1.0413926851582251,2.6020599913279625,vGluT2-Cre cTRIO,unknown
3,55_Amy 3,1.2041199826559248,2.392696953259666,GAD2-Cre cTRIO,unknown
4,20_NAcMed 4,1.2041199826559248,2.890979596989689,TRIO,unknown
5,24_mPFC 4,1.2041199826559248,3.4690852991231202,TRIO,unknown
6,68_mPFC 4,1.255272505103306,3.2755416884013098,vGluT2-Cre cTRIO,unknown
7,51_mPFC 3,1.255272505103306,2.5440680443502757,GAD2-Cre cTRIO,unknown
8,23_mPFC 3,1.3010299956639813,2.787460474518415,TRIO,unknown
9,19_NAcMed 3,1.3424226808222062,3.074084689028244,TRIO,unknown
10,52_mPFC 4,1.3424226808222062,2.2380461031287955,GAD2-Cre cTRIO,unknown
11,38_mPFC 2,1.3617278360175928,3.246005904076029,DAT-Cre cTRIO,unknown
12,43_Amy 3,1.380211241711606,2.788168371141168,DAT-Cre cTRIO,unknown
13,49_mPFC 1,1.380211241711606,2.6848453616444123,GAD2-Cre cTRIO,unknown
14,39_mPFC 3,1.4471580313422192,3.215637563435062,DAT-Cre cTRIO,unknown
15,59_NAcLat 3,1.462397997898956,3.4690852991231202,vGluT2-Cre cTRIO,unknown
16,64_NAcMed 4,1.4913616938342726,2.967547976218862,vGluT2-Cre cTRIO,unknown
17,53_Amy 1,1.4913616938342726,2.66838591669,GAD2-Cre cTRIO,unknown
18,42_Amy 2,1.5185139398778875,2.387389826338729,DAT-Cre cTRIO,unknown
19,22_mPFC 2,1.5563025007672873,3.085290578230065,TRIO,unknown
20,36_NAcMed 4,1.6020599913279623,2.921166050637739,DAT-Cre cTRIO,unknown
21,45_NAcLat 1,1.6020599913279623,2.7209857441537393,GAD2-Cre cTRIO,unknown
22,44_Amy 4,1.6020599913279623,3.0178677189635055,DAT-Cre cTRIO,unknown
23,71_Amy 3,1.6020599913279623,3.2216749970707688,vGluT2-Cre cTRIO,unknown
24,67_mPFC 3,1.6232492903979006,3.16761267272753,vGluT2-Cre cTRIO,unknown
25,70_Amy 2,1.6232492903979006,3.7066324508732946,vGluT2-Cre cTRIO,unknown
26,48_NAcLat 4,1.6434526764861874,2.821513528404773,GAD2-Cre cTRIO,unknown
27,72_Amy 4,1.7075701760979363,2.884228769632604,vGluT2-Cre cTRIO,unknown
28,50_mPFC 2,1.7481880270062005,2.7972675408307164,GAD2-Cre cTRIO,unknown
29,46_NAcLat 2,1.7481880270062005,2.575187844927661,GAD2-Cre cTRIO,unknown
30,21_mPFC 1,1.7781512503836436,3.110589710299249,TRIO,unknown
31,54_Amy 2,1.7781512503836436,3.1464381352857744,GAD2-Cre cTRIO,unknown
32,17_NAcMed 1,1.806179973983887,4.121362840563391,TRIO,unknown
33,58_NAcLat 2,1.8260748027008264,3.441852175773292,vGluT2-Cre cTRIO,unknown
34,69_Amy 1,1.8388490907372552,3.7139103541289553,vGluT2-Cre cTRIO,unknown
35,47_NAcLat 3,1.863322860120456,3.1911714557285586,GAD2-Cre cTRIO,unknown
36,63_NAcMed 3,1.9030899869919435,3.936915680945254,vGluT2-Cre cTRIO,unknown
37,40_mPFC 4,1.9242792860618816,2.887617300335736,DAT-Cre cTRIO,unknown
38,27_Amy 3,1.9242792860618816,3.230704313612569,TRIO,unknown
39,61_NAcMed 1,1.9822712330395684,3.155336037465062,vGluT2-Cre cTRIO,unknown
40,37_mPFC 1,2.0086001717619175,3.392169149489736,DAT-Cre cTRIO,unknown
41,57_NAcLat 1,2.0170333392987803,4.111464151586654,vGluT2-Cre cTRIO,unknown
42,18_NAcMed 2,2.037426497940624,3.508798965403905,TRIO,unknown
43,26_Amy 2,2.1335389083702174,3.3469394626989906,TRIO,unknown
44,34_NAcMed 2,2.1398790864012365,3.473924693416157,DAT-Cre cTRIO,unknown
