,ID,starter,input,condition
0,5,1.9637878273455553,3.784759894664005,PV
1,11,1.9822712330395684,4.009280884255359,PKCd
2,8,2.0170333392987803,3.792391689498254,PV
3,6,2.0492180226701815,4.017534159437198,PV
4,12,2.2041199826559246,4.281215232611316,PKCd
5,3,2.326335860928751,3.9811841373983543,VGLUT
6,7,2.4471580313422194,4.164352855784437,PV
7,1,2.4533183400470375,4.06475739942968,VGLUT
8,4,2.4533183400470375,4.112202690730536,VGLUT
9,9,2.4771212547196626,4.337339439388419,PKCd
10,13,2.531478917042255,4.389307871659916,SST
11,16,2.53655844257153,4.111934276332682,SST
12,10,2.57978359661681,4.644477979471213,PKCd
13,2,2.6148972160331345,4.123851640967086,VGLUT
14,15,2.6665179805548807,4.580651318148037,SST
15,14,2.803457115648414,4.73242592859317,SST
