,ID,starter,input,condition
0,1221,2.959994838328416,4.12437378648463,Gad2 - pIC
1,1224,3.0115704435972783,3.7835462822703496,Gad2 - pIC
2,175,3.0569048513364727,4.310990527134579,Camk2a - pIC
3,1164,3.0755469613925306,4.039453778961737,Gad2 - mIC
4,461,3.1595671932336202,4.257198426139344,Camk2a - aIC
5,1161,3.1997551772534747,4.402089350572097,Gad2 - mIC
6,1146,3.2232362731029975,3.712397131406715,Gad2 - aIC
7,1147,3.256958152560932,4.158060793936605,Gad2 - aIC
8,1225,3.2664668954402414,3.716504163773217,Gad2 - aIC
9,1162,3.305351369446624,4.208602574462532,Gad2 - pIC
10,872,3.3575537197430814,4.0948203803548,Camk2a - aIC
11,1163,3.3602146132953523,4.267124775110152,Gad2 - mIC
12,16,3.4089180208467798,4.60760512376043,Camk2a - mIC
13,1114,3.413467412985825,4.040641891544537,Camk2a - pIC
14,460,3.46553155697355,4.656529406233498,Camk2a - mIC
15,1323,3.590618948206578,4.6722733883129495,Camk2a - mIC
16,972,3.730701544281845,4.039136399222095,Camk2a - pIC
17,557,4.189321841020496,4.5040084564010465,Camk2a - aIC
