,ID,starter,input,condition
0,1221,912,13316,Gad2 - pIC
1,1224,1027,6075,Gad2 - pIC
2,175,1140,20464,Camk2a - pIC
3,1164,1190,10951,Gad2 - mIC
4,461,1444,18080,Camk2a - aIC
5,1161,1584,25240,Gad2 - mIC
6,1146,1672,5157,Gad2 - aIC
7,1147,1807,14390,Gad2 - aIC
8,1225,1847,5206,Gad2 - aIC
9,1162,2020,16166,Gad2 - pIC
10,872,2278,12440,Camk2a - aIC
11,1163,2292,18498,Gad2 - mIC
12,16,2564,40514,Camk2a - mIC
13,1114,2591,10981,Camk2a - pIC
14,460,2921,45345,Camk2a - mIC
15,1323,3896,47019,Camk2a - mIC
16,972,5379,10943,Camk2a - pIC
17,557,15464,31916,Camk2a - aIC
