,ID,starter,input,condition
0,419707,1.0413926851582251,4.760249032591595,VIP-Cre 
1,445850,1.2041199826559248,4.197611323169714,NDNF-Cre
2,445851,1.255272505103306,4.1923722835985116,NDNF-Cre
3,419719,1.5314789170422551,4.745309059940828,PV-Cre 
4,445582,1.5314789170422551,4.323788189900751,NDNF-Cre
5,424010,1.568201724066995,4.6402726869436295,VIP-Cre 
6,424011,1.6532125137753437,4.859864517325559,VIP-Cre 
7,420047,1.6812412373755872,4.948515658412496,SST-Cre 
8,420079,1.7993405494535817,5.0744287658564335,PV-Cre 
9,419720,1.9444826721501687,5.051484389620472,PV-Cre 
10,419710,1.968482948553935,4.98481524737458,SST-Cre 
11,420049,2.0791812460476247,5.066299829630627,SST-Cre 
