,ID,starter,input,condition
0,8,0.9030899869919435,2.392696953259666,Glt25d2
1,7,1.1760912590556813,2.3344537511509307,Glt25d2
2,11,1.380211241711606,2.603144372620182,Efr3a
3,12,1.380211241711606,2.637489729512511,Efr3a
4,10,1.6127838567197355,3.4153072922255676,Efr3a
5,6,1.6532125137753437,3.0784568180532927,Glt25d2
6,2,1.7323937598229686,3.492061604512599,Tlx3
7,9,1.7708520116421442,3.1878026387184195,Efr3a
8,4,1.9138138523837167,3.303412070596742,Tlx3
9,1,1.919078092376074,3.230959555748569,Tlx3
10,5,1.9590413923210936,3.3197304943302246,Tlx3
11,3,2.184691430817599,3.0633333589517497,Tlx3
