,ID,starter,input,condition,cell_type
0,28,1.505149978319906,2.3654879848909,PV_V1_P5,interneuron
1,40,1.5563025007672873,3.2778383330020473,SST_V1_P5,interneuron
2,34,1.6020599913279623,3.4771212547196626,SST_M2_P5,interneuron
3,22,1.7160033436347992,2.606381365110605,PV_M2_P5,interneuron
4,19,1.806179973983887,3.5861370252307934,PV_V1_P30,interneuron
5,13,1.8808135922807914,3.802636918082811,SST_M2_P30,interneuron
6,15,1.8808135922807914,4.247973266361806,SST_S1_P30,interneuron
7,16,1.9030899869919435,3.7708520116421442,SST_S1_P30,interneuron
8,18,1.9242792860618816,4.270166229260694,SST_S1_P30,interneuron
9,29,1.9444826721501687,3.519565500880509,PV_V1_P5,interneuron
10,23,1.9444826721501687,3.1360860973840974,PV_M2_P5,interneuron
11,30,1.9637878273455553,2.7634279935629373,PV_V1_P5,interneuron
12,10,1.9822712330395684,3.767897616018091,PV_V1_P30,interneuron
13,9,2.0,3.5435714239623652,PV_V1_P30,interneuron
14,20,2.0170333392987803,4.07903645708749,PV_V1_P30,interneuron
15,21,2.03342375548695,4.018534070428183,PV_V1_P30,interneuron
16,14,2.1583624920952498,4.434377261250224,SST_M2_P30,interneuron
17,24,2.1702617153949575,3.178401341533755,PV_M2_P5,interneuron
18,8,2.1931245983544616,3.714664992862537,PV_V1_P30,interneuron
19,32,2.2041199826559246,4.397314173908845,SST_M2_P5,interneuron
20,11,2.2355284469075487,4.048441803550404,PV_V1_P30,interneuron
21,2,2.2648178230095364,4.35395467937171,PV_M2_P30,interneuron
22,1,2.292256071356476,4.389520465846378,PV_M2_P30,interneuron
23,39,2.3180633349627615,4.117138666403885,SST_V1_P5,interneuron
24,26,2.326335860928751,3.9458623244896174,PV_S1_P5,interneuron
25,5,2.326335860928751,3.8727388274726686,PV_S1_P30,interneuron
26,35,2.342422680822206,4.360820535237942,SST_S1_P5,interneuron
27,7,2.342422680822206,4.242243183249302,PV_S1_P30,interneuron
28,41,2.3502480183341627,4.096771016533225,SST_V1_P5,interneuron
29,3,2.380211241711606,4.171433900943009,PV_M2_P30,interneuron
30,12,2.3944516808262164,4.444169754768573,SST_M2_P30,interneuron
31,17,2.459392487759231,4.536305872351034,SST_S1_P30,interneuron
32,25,2.505149978319906,3.785044958331544,PV_S1_P5,interneuron
33,4,2.5563025007672873,4.616244388829242,PV_M2_P30,interneuron
34,37,2.593286067020457,4.365338202346941,SST_S1_P5,interneuron
35,36,2.606381365110605,4.464966204890961,SST_S1_P5,interneuron
36,27,2.6148972160331345,3.593728998707911,PV_S1_P5,interneuron
37,31,2.681241237375587,4.572732234017682,SST_M2_P5,interneuron
38,6,2.7895807121644256,4.4374968861298205,PV_S1_P30,interneuron
39,38,2.800717078282385,4.528093588006807,SST_S1_P5,interneuron
40,33,2.940516484932567,4.776323372323084,SST_M2_P5,interneuron
