,ID,starter,input,condition,cell_type
0,28,32,232,PV_V1_P5,interneuron
1,40,36,1896,SST_V1_P5,interneuron
2,34,40,3000,SST_M2_P5,interneuron
3,22,52,404,PV_M2_P5,interneuron
4,19,64,3856,PV_V1_P30,interneuron
5,13,76,6348,SST_M2_P30,interneuron
6,15,76,17700,SST_S1_P30,interneuron
7,16,80,5900,SST_S1_P30,interneuron
8,18,84,18628,SST_S1_P30,interneuron
9,29,88,3308,PV_V1_P5,interneuron
10,23,88,1368,PV_M2_P5,interneuron
11,30,92,580,PV_V1_P5,interneuron
12,10,96,5860,PV_V1_P30,interneuron
13,9,100,3496,PV_V1_P30,interneuron
14,20,104,11996,PV_V1_P30,interneuron
15,21,108,10436,PV_V1_P30,interneuron
16,14,144,27188,SST_M2_P30,interneuron
17,24,148,1508,PV_M2_P5,interneuron
18,8,156,5184,PV_V1_P30,interneuron
19,32,160,24964,SST_M2_P5,interneuron
20,11,172,11180,PV_V1_P30,interneuron
21,2,184,22592,PV_M2_P30,interneuron
22,1,196,24520,PV_M2_P30,interneuron
23,39,208,13096,SST_V1_P5,interneuron
24,26,212,8828,PV_S1_P5,interneuron
25,5,212,7460,PV_S1_P30,interneuron
26,35,220,22952,SST_S1_P5,interneuron
27,7,220,17468,PV_S1_P30,interneuron
28,41,224,12496,SST_V1_P5,interneuron
29,3,240,14840,PV_M2_P30,interneuron
30,12,248,27808,SST_M2_P30,interneuron
31,17,288,34380,SST_S1_P30,interneuron
32,25,320,6096,PV_S1_P5,interneuron
33,4,360,41328,PV_M2_P30,interneuron
34,37,392,23192,SST_S1_P5,interneuron
35,36,404,29172,SST_S1_P5,interneuron
36,27,412,3924,PV_S1_P5,interneuron
37,31,480,37388,SST_M2_P5,interneuron
38,6,616,27384,PV_S1_P30,interneuron
39,38,632,33736,SST_S1_P5,interneuron
40,33,872,59748,SST_M2_P5,interneuron
