,ID,starter,input,condition,cell_type
0,19,1.806179973983887,3.5861370252307934,PV_V1_P30,interneuron
1,15,1.8808135922807914,4.247973266361806,SST_S1_P30,interneuron
2,13,1.8808135922807914,3.802636918082811,SST_M2_P30,interneuron
3,16,1.9030899869919435,3.7708520116421442,SST_S1_P30,interneuron
4,18,1.9242792860618816,4.270166229260694,SST_S1_P30,interneuron
5,10,1.9822712330395684,3.767897616018091,PV_V1_P30,interneuron
6,9,2.0,3.5435714239623652,PV_V1_P30,interneuron
7,20,2.0170333392987803,4.07903645708749,PV_V1_P30,interneuron
8,21,2.03342375548695,4.018534070428183,PV_V1_P30,interneuron
9,14,2.1583624920952498,4.434377261250224,SST_M2_P30,interneuron
10,8,2.1931245983544616,3.714664992862537,PV_V1_P30,interneuron
11,11,2.2355284469075487,4.048441803550404,PV_V1_P30,interneuron
12,2,2.2648178230095364,4.35395467937171,PV_M2_P30,interneuron
13,1,2.292256071356476,4.389520465846378,PV_M2_P30,interneuron
14,5,2.326335860928751,3.8727388274726686,PV_S1_P30,interneuron
15,7,2.342422680822206,4.242243183249302,PV_S1_P30,interneuron
16,3,2.380211241711606,4.171433900943009,PV_M2_P30,interneuron
17,12,2.3944516808262164,4.444169754768573,SST_M2_P30,interneuron
18,17,2.459392487759231,4.536305872351034,SST_S1_P30,interneuron
19,4,2.5563025007672873,4.616244388829242,PV_M2_P30,interneuron
20,6,2.7895807121644256,4.4374968861298205,PV_S1_P30,interneuron
