,ID,starter,input,condition,cell_type
0,28,32,232,PV_V1_P5,interneuron
1,40,36,1896,SST_V1_P5,interneuron
2,34,40,3000,SST_M2_P5,interneuron
3,22,52,404,PV_M2_P5,interneuron
4,23,88,1368,PV_M2_P5,interneuron
5,29,88,3308,PV_V1_P5,interneuron
6,30,92,580,PV_V1_P5,interneuron
7,24,148,1508,PV_M2_P5,interneuron
8,32,160,24964,SST_M2_P5,interneuron
9,39,208,13096,SST_V1_P5,interneuron
10,26,212,8828,PV_S1_P5,interneuron
11,35,220,22952,SST_S1_P5,interneuron
12,41,224,12496,SST_V1_P5,interneuron
13,25,320,6096,PV_S1_P5,interneuron
14,37,392,23192,SST_S1_P5,interneuron
15,36,404,29172,SST_S1_P5,interneuron
16,27,412,3924,PV_S1_P5,interneuron
17,31,480,37388,SST_M2_P5,interneuron
18,38,632,33736,SST_S1_P5,interneuron
19,33,872,59748,SST_M2_P5,interneuron
