,ID,starter,input,condition
0,#15272,1.5797835966168101,1.7993405494535817,ILA SST
1,PV01,1.6720978579357175,2.424881636631067,PL PV
2,#15185,1.7160033436347992,2.359835482339888,ILA SST
3,#15184,1.806179973983887,2.3010299956639813,ILA SST
4,SOM01 ,1.9912260756924949,3.131297796597623,ILA SST
5,#15030908,2.0644579892269186,3.1604685311190375,ILA PV
6,SOM02 ,2.110589710299249,3.455758203104137,ILA SST
7,#15122301,2.1367205671564067,2.7299742856995555,PL SST
8,#15030508,2.155336037465062,3.2581581933407944,ILA PV
9,#16030510,2.1760912590556813,3.1604685311190375,PL PV
10,#16030909,2.3541084391474008,3.3226327116922234,PL PV
11,#04 ILA,2.444044795918076,3.606381365110605,ILA VIP
12,#15112704,2.450249108319361,3.848004271497268,ILA SST
13,#15122305,2.45178643552429,3.550595207489328,PL SST
14,#15030507,2.4727564493172123,3.379668034033654,ILA PV
15,#15122303,2.4913616938342726,3.2794387882870204,PL SST
16,#15122302,2.506505032404872,3.4734869700645685,PL SST
17,#15122304,2.5352941200427703,3.529173603261723,PL SST
18,#15030912,2.5899496013257077,3.609060549930087,ILA PV
19,#01 PL,2.6473829701146196,3.7033773685123497,PL VIP
20,#02 ILA,2.6503075231319366,3.4082399653118496,ILA VIP
21,#16030910,2.7589118923979736,3.6704314093606056,PL PV
22,#02 PL,2.77232170672292,3.748885440009517,PL VIP
23,#03 ILA,2.7788744720027396,3.747567162737625,ILA VIP
24,#04 PL,2.8254261177678233,4.009153331907709,PL VIP
25,#03 PL,2.829303772831025,3.895146189375992,PL VIP
26,#01 ILA,2.9566485792052033,4.059336177389288,ILA VIP
27,#15112701,3.0681858617461617,4.4288310513865685,PL SST
