,ID,starter,input,condition
0,m2,0.0,2.9947569445876283,V
1,g1,0.9030899869919435,3.762078087334639,XII
2,v4,1.0791812460476249,3.2405492482826,VII
3,m1,1.2041199826559248,3.3830969299490943,V
4,m4,1.2304489213782739,3.434888120867316,V
5,v2,1.255272505103306,3.412460547429961,VII
6,g4,1.255272505103306,3.0629578340845103,XII
7,v3,1.3010299956639813,3.6290016192869916,VII
8,v1,1.414973347970818,3.2821687783046416,VII
9,m3,1.4313637641589874,3.5601458398490475,V
10,g3,1.6020599913279623,3.727947709544797,XII
11,g2,1.6334684555795864,3.7223047868743278,XII
