,ID,starter,input,condition
0,AMLeft,0.0,2.690196080028514,PFC-projector
1,RW64,1.3617278360175928,3.016197353512439,LH-projector
2,RW174,1.462397997898956,3.4604467838807205,PFC-projector
3,RW118,1.6532125137753437,3.0277572046905536,LH-projector
4,RW176,1.6720978579357175,3.330413773349191,PFC-projector
5,RW133,1.7558748556724915,3.4320066872695985,NAc-projector
6,RW132,1.8129133566428555,3.6481647785740012,NAc-projector
7,RW197,1.8573324964312685,3.5444401373176926,NAc-projector
8,RW65,1.8864907251724818,3.6924062348336304,LH-projector
9,RW173,1.8920946026904804,2.971275848738105,PFC-projector
10,RW135,1.968482948553935,3.6845760873884554,NAc-projector
11,RW158,1.9777236052888478,3.7839750034126713,NAc-projector
12,RW175,2.0969100130080562,3.5744942682853273,PFC-projector
13,RW198,2.1335389083702174,3.3092041796704077,NAc-projector
14,RW199,2.2174839442139063,3.6959192528313998,NAc-projector
15,RW166,2.247973266361807,3.5583485087616196,LH-projector
16,RW157,2.278753600952829,3.6624745037503095,NAc-projector
17,RW226,2.6972293427597176,4.017158598487815,LH-projector
18,RW225,2.8254261177678233,3.805160901599434,LH-projector
19,RW227,2.929418925714293,4.066661302300677,LH-projector
