,ID,starter,input,condition
0,AMLeft,1,490,PFC-projector
1,RW64,23,1038,LH-projector
2,RW174,29,2887,PFC-projector
3,RW118,45,1066,LH-projector
4,RW176,47,2140,PFC-projector
5,RW133,57,2704,NAc-projector
6,RW132,65,4448,NAc-projector
7,RW197,72,3503,NAc-projector
8,RW65,77,4925,LH-projector
9,RW173,78,936,PFC-projector
10,RW135,93,4837,NAc-projector
11,RW158,95,6081,NAc-projector
12,RW175,125,3754,PFC-projector
13,RW198,136,2038,NAc-projector
14,RW199,165,4965,NAc-projector
15,RW166,177,3617,LH-projector
16,RW157,190,4597,NAc-projector
17,RW226,498,10403,LH-projector
18,RW225,669,6385,LH-projector
19,RW227,850,11659,LH-projector
