area,starter,target_frac,genotype,target_frac + genotype,starter + target_frac,starter + genotype,starter + target_frac + genotype
LGd,0.08259344797831691,0.30158371969180997,0.03456648222662906,0.3133498658366164,0.48886304550702353,0.09103887552873124,0.49364393735079193
LP,0.02966516808641062,0.19725864594757048,0.08403690261147967,0.2495644673346411,0.20174798798052185,0.16866859184957894,0.27915513845739337
LD,0.3287800445474739,0.006364954220287489,0.1588112787091801,0.1779143770370184,0.3324310191621347,0.37404215558419907,0.37410052156725615
AM,0.07077286321856702,0.31157755759332195,0.08494706280027509,0.4523312335436528,0.3298797124751752,0.11585761229423464,0.45255611887672786
ORB,0.0016285456721044644,0.2912921217680675,0.004385368879506801,0.2914154313218028,0.2998803061179647,0.008946082497007235,0.30260712241374643
ACA,0.048475522694373274,0.03939607406351642,0.012353866780339007,0.059275299217200206,0.11571328576771267,0.08846817910759197,0.19036871563061852
AUD,0.4320659667265837,0.03700763328020362,0.10553550820814572,0.16377631657256508,0.43327175521354333,0.44270916827812157,0.4466037336372497
PTLp,0.10302316975017933,0.001321785668446318,0.004263422241903125,0.005008491781466562,0.10481919687495678,0.13851351482289342,0.14702241807408067
TEa,0.33965596932293574,0.03921227393531501,0.0782259059372411,0.1360697628496954,0.3431464625860714,0.34647415513214364,0.35324022554815104
MOs,0.47111007036750774,0.1849541875002505,0.005753364093001423,0.20422077321026144,0.5453277889945543,0.5010728750211243,0.5571275104099033
CLA,0.0958380197573594,0.026620065907175472,0.04782598615410982,0.0655790930420398,0.15593073809036206,0.10991155246936324,0.15946023222939554
VISp,0.0007108572917574607,0.1930955210854225,0.001468134254194342,0.20354706411894408,0.19979260205562033,0.0016712167849846082,0.22135122781447192
VISpm,0.06941274660482544,0.28127188830481686,0.00813042613168391,0.281480538362912,0.30074999769132915,0.10690581321193204,0.30655010091795587
VISam,0.08477173036496,0.5007855907740746,0.013972688818410961,0.5010794842603382,0.5161599731089825,0.13942171833098993,0.5213957163281557
VISl,0.0002051035682152369,0.14347053410150812,0.021182827965708695,0.15199066955770468,0.14978519529759404,0.02596107095629141,0.15416522827829915
VISal,0.000393065228960654,0.004686594356547391,0.05499783814836323,0.05624190224587022,0.004698157975144945,0.06664372326011103,0.06664600206728877
RSPv,0.15132552152708745,0.37317709047827297,0.027493915883660125,0.43863026398291716,0.4351283359723024,0.15240522900869335,0.4643802306559981
RSPd,0.016702876604992367,0.31475338836337685,0.06794588268189194,0.34797853411727775,0.31479410927276985,0.12282146415452533,0.35315615731826566
RSPagl,0.009027038759776174,0.28718205807410113,0.03844455183156181,0.30173802527367777,0.2884352733909685,0.06867115922632305,0.3019244515339904
