area,starter,target_frac,genotype,target_frac + genotype,starter + target_frac,starter + genotype,starter + target_frac + genotype
LGd,0.16314515566178645,0.4274133375055683,0.0007483490850573871,0.44537549183318237,0.5071231586469109,0.16791200091945302,0.5312060002278183
LP,0.018924773774387615,0.2187295828217095,0.17098468883082074,0.33629962616652076,0.2729352040816959,0.20368109609884333,0.4032323779115149
LD,0.2580602231237171,0.0021828770857487134,0.04707526801707573,0.04722057261630741,0.2608624528570437,0.2855717048504972,0.29160135155164224
AM,0.0972196628358224,0.28742196586405466,0.06761173504324691,0.41035251637945835,0.3322475646161265,0.18333999704426107,0.46705626743068096
ORB,0.36444370022303574,0.32773765950447065,0.008694150656154864,0.32773955546646283,0.5798189419478594,0.3654451101496671,0.5810869611844065
ACA,0.3818658213915662,0.0036683754492857767,0.03672206323341076,0.04528258870947355,0.38553682482756313,0.44750265231111797,0.44807463493753064
AUD,0.33587836977951624,0.006293875857722675,0.016298274088481612,0.026526601012023088,0.37413871718395153,0.34060243684744285,0.38373173724577603
PTLp,0.1658387165079105,0.002859665737553252,0.023019733352541816,0.02923696786857244,0.16652008940599206,0.20363260394661276,0.20363634565646183
TEa,0.5252103403729627,0.06377221244652775,0.0022088661098356166,0.07163625041535815,0.6859297349966891,0.525955072260175,0.6868788728765263
MOs,0.049771107601349285,0.14656994368950338,0.01611399895447152,0.1509729044122491,0.23850778964802155,0.07243810686752616,0.24640628398144881
CLA,0.43547356808609505,0.0003138265125411932,0.02980472305533033,0.031922605959414097,0.4575837709616709,0.4466419352942288,0.4740834079059073
VISp,0.25343974235943834,0.1368031427685381,0.00027516779721270535,0.13868127648879403,0.3303833735787255,0.2546718572443102,0.33613958821618883
VISpm,0.11409562545674501,0.3455296781311138,0.0013542351043711598,0.36318328138308964,0.5577752250042458,0.11410070416141449,0.5676328058008209
VISam,0.10217192051697743,0.6863121955635938,0.017615923103602382,0.686312254258236,0.7125065804587785,0.11228223190299402,0.7126546114377081
VISl,0.12923471845650947,0.3739755794672506,0.17209705864608305,0.4769230558389427,0.4342005736891765,0.2736808230764568,0.5264001026420024
VISal,0.0012967546317725898,0.0012548719690556043,0.015297824845963981,0.01843398791245099,0.003166481069954319,0.01584911620997964,0.019602539638658767
RSPv,0.006660500269230818,0.3415040557219684,0.06931105873770327,0.47236926472735985,0.34255966584156416,0.08121812532046657,0.4724043879747586
RSPd,0.03195308053222534,0.40272971246376144,0.05805156506858056,0.4225856661407661,0.4059326431793945,0.08205078146843314,0.42473550567415363
RSPagl,0.05978570288521745,0.2866910343920973,0.002475447733738756,0.28803487742334066,0.30721453088276107,0.06040414734123678,0.3094529890983242
