area,starter,target_frac,genotype,target_frac + genotype,starter + target_frac,starter + genotype,starter + target_frac + genotype
LGd,0.21359095952915108,0.4841065799182386,0.0694893116466192,0.5115877621927711,0.6698077271790812,0.21509110098064532,0.6729067195257578
LP,0.07768941190108303,0.06605239206333868,0.10917575623084685,0.15408431877378492,0.13750442553847886,0.1265360614704807,0.17317218241944976
LD,0.4281614722747056,0.019730086607059993,0.13897661791845306,0.17731843049224916,0.4572076353672736,0.43111452440254816,0.46341543761841864
AM,0.01693898952322992,0.3395386228634092,0.05927758075329215,0.4485894734192116,0.35029854712554365,0.1432382359822426,0.543798915471202
ORB,0.0903420977919227,0.25779499498630365,0.06057841845818612,0.2885224936766576,0.3349361494872888,0.10272940989204349,0.33678427258110766
ACA,0.34485170565114387,0.0674317185916371,0.00039960748134859614,0.06773231793159185,0.3992264067354969,0.44339565357087307,0.5215261320316396
AUD,0.49000007227622777,0.0005066488028656613,0.12494464852874021,0.1257484516116072,0.4900878377695679,0.4900344908352515,0.49014023807722373
PTLp,0.19944195172354795,0.015602022729186094,0.003016676756366854,0.017003766623304717,0.21040103483165795,0.23666516058059317,0.25429683044670326
TEa,0.6208449190759275,0.0004828849372007227,0.12884220563499293,0.13433124473969815,0.624197963959127,0.6223106507381355,0.6251303181693102
MOs,0.3019454712746291,0.07905768618940179,0.0017833496362495982,0.08599850044685342,0.39589111519344,0.37303055709656585,0.4470666652304114
CLA,0.49835685606784275,0.02273763126739159,0.11074388806018864,0.12161281096973031,0.5124643810672949,0.4988148876297218,0.5139296066947472
VISp,0.05281581813628977,0.16472021264514947,0.0034916788485953587,0.17873179934699912,0.2094776890434753,0.09281524957918141,0.27578329132137647
VISpm,0.054391264186447685,0.2853622785279518,0.012896909401988399,0.28677064072959924,0.3518260874246557,0.12448701455700528,0.38823873333052006
VISam,0.013184211238104315,0.4284638733267644,0.008113051356268275,0.42847689515857335,0.43570782790979,0.014625277050964058,0.43850405926544367
VISl,0.08191464454642983,0.15233929305435934,0.07341376775598074,0.19957927240492024,0.22454825740970363,0.10386564820751187,0.23388262990200182
VISal,0.003985769310246412,0.00034102350876386023,0.04824664664436984,0.050787709044600615,0.004229406456413787,0.08777848212997863,0.090957316366023
RSPv,0.04847788316649937,0.4050114137575731,0.02686036063817243,0.4713619117097779,0.46721568160111326,0.05239867738540693,0.4909418036614758
RSPd,0.011062395139869285,0.31524064173790445,0.046368537496087936,0.3338491558198057,0.32159272827378893,0.04637381486241454,0.3340381092995065
RSPagl,0.021667080023859753,0.30251563665458747,0.0110549302080174,0.30323021371646397,0.31746921640302084,0.02301830435187635,0.3190058146179575
