area,starter,target_frac,genotype,target_frac + genotype,starter + target_frac,starter + genotype,starter + target_frac + genotype
LGd,0.3266706603024706,0.6151799445043209,0.007892572232670036,0.6165885667608546,0.7611228465796591,0.3369004102028944,0.7858693731249935
LP,0.125437663719292,0.05926106883012616,0.10693894209679433,0.1443650188905785,0.150193505343596,0.17592050633045475,0.19520805929621432
LD,0.1904434633187283,5.1723998222730216e-05,0.0330103164230664,0.034366775799063554,0.2058324750351933,0.1922988636772588,0.20871955478527693
AM,0.054874884038846106,0.3243952118066029,0.10925569808788893,0.5071464727766068,0.3325463164052873,0.23906637841105527,0.5584806208321234
ORB,0.46521156459263346,0.3638428896989595,0.06386383718931066,0.38879055672620255,0.660668236662985,0.4663880540279811,0.6606772891830084
ACA,0.31363050563352235,0.05707601712394128,0.009238568995239671,0.07563403299680804,0.32316506784952936,0.39926724378842104,0.41433996820815
AUD,0.31809555545297086,0.023169010773803067,0.04370602292898618,0.05815844404595405,0.31814247734840084,0.3189054763628837,0.3189254119767315
PTLp,0.17882115650885344,0.054932450595583604,0.000542311976427623,0.05873994282079609,0.19561876472213402,0.20734444736706148,0.22818670356977389
TEa,0.4896370416295984,0.0001311061292706972,0.032627901353443844,0.03430666050112807,0.5291691036974293,0.4919307186345414,0.5301444005523037
MOs,0.016165071025865507,0.05644183529623992,0.042217236025249516,0.08518414088299253,0.09449960269260549,0.08401455366163235,0.15100781825694554
CLA,0.5998032300630053,0.002737411158810099,0.07256630785330931,0.07265102209046947,0.6231470884732468,0.6002187167010438,0.6242621374960506
VISp,0.30092334074182236,0.1011201292220778,0.004818460290563653,0.10146678330886139,0.3342553941889057,0.3138792353870936,0.35107458342622677
VISpm,0.04962680192509383,0.3485285656277525,0.0025997640674552125,0.37033058065247393,0.4993325847764477,0.05011673865410904,0.5005272349609611
VISam,0.15993586893331713,0.482187351733234,0.0010277768744049176,0.48865700648973875,0.5343555719665717,0.17045802434879376,0.5583037029537621
VISl,0.1884505274800794,0.2844134621436234,0.19301729167702553,0.41285574404214054,0.37856249181436574,0.28836328512857357,0.4571331458112933
VISal,0.005169443650143712,0.028725657593449916,0.024425529813271063,0.06328416558945549,0.029574422313717652,0.04114225438221619,0.07101527051794754
RSPv,0.009418530669895397,0.3400653947707699,0.08774527713887015,0.49603803128054524,0.34313095072119904,0.12920281951592893,0.5001425845007273
RSPd,0.14794409451435941,0.38519626352548186,0.02825045912795532,0.3900078087989257,0.4391551018676084,0.15009304672492063,0.43915579619595246
RSPagl,0.036317288890777455,0.2931112444725762,0.007177678109584362,0.3233417581595578,0.2958772003447627,0.060199588787094305,0.3351711214583387
