area,starter,target_frac,genotype,target_frac + genotype,starter + target_frac,starter + genotype,starter + target_frac + genotype
LGd,0.0020569460559433095,0.34828201978040685,0.2680293310345575,0.5537250548116215,0.582485500040536,0.2923552475623241,0.6343674038810658
LP,0.03448340520702997,0.359191833449789,0.07572710572048824,0.4024870340063881,0.4012976859466595,0.1709100416885766,0.4146303169993686
LD,0.3791706384260034,0.15342273802182815,0.09183648475991835,0.27598475703699443,0.3805642102276996,0.38595487913936466,0.39263406693211744
AM,0.4817171932579243,0.5186183499734699,0.03763103009744695,0.5959498820719715,0.6309316668003635,0.48605619608713,0.6441991730476462
ORB,0.038142785535135615,0.13805158992318833,0.14154318244555175,0.2509289313561882,0.39882153418831756,0.1452930342064479,0.4038898250181042
ACA,0.1727244433153442,0.2000710748875668,0.4867530489084425,0.7681580995919405,0.23580191971005615,0.5159982590874146,0.8355959764258712
AUD,0.30643539317501045,0.4055654824219027,0.006188589451827431,0.42879877672477495,0.45485025352851427,0.3244774947068786,0.45633371373915543
PTLp,0.0017963688607228745,0.026059457804262776,0.08459030658322209,0.10124303200525331,0.03024556124532074,0.11038155087255308,0.11110473966523116
TEa,0.2971509390962195,0.08357388466880411,0.046817772009686176,0.14659834286071904,0.29860815379285466,0.297443512567372,0.2986083188986981
MOs,0.1616023030167657,0.43950226809381476,0.16748469679451006,0.5522001634055995,0.4397534599649898,0.5204817095508187,0.6072300220102449
CLA,0.13781117331000603,0.21236091917920374,0.07382886876152972,0.3189645164692778,0.22783717437346573,0.15894703108240893,0.32280248908842535
VISp,0.45538968613176867,0.2820959559135747,0.34349562068372597,0.705935021741087,0.4831922811157203,0.5874347776528479,0.7190836915957782
VISpm,0.007247749307561779,0.2390922359485924,0.6085914748829502,0.7705791344657867,0.3012905818203515,0.7686405420340298,0.8001847123513033
VISam,0.16242234533182254,0.4074438047386917,0.244180056745957,0.5872153502510233,0.40866679768723957,0.6395755076876803,0.685846206126657
VISl,0.06592461606259947,0.003654589861276092,0.41681814922939,0.43506998440425093,0.07835759482532922,0.4172502807285068,0.44452167732042125
VISal,0.013599802591758636,0.05686618634915963,0.34472729605906016,0.37448897807612025,0.15733156495649225,0.3561304891029,0.3747016456559057
RSPv,0.1573034696797263,0.6226036967380226,0.23606925069404483,0.781269306615705,0.6293667484024043,0.6187944439971916,0.8063073285195963
RSPd,0.007243235349801536,0.23190592106353458,0.27685187901771424,0.4568223881820147,0.2914710534652123,0.366613222200626,0.4570375990787452
RSPagl,0.059885907108125136,0.34268562920803614,0.32752520130081775,0.6015103393690118,0.35761675392128034,0.5671175403650939,0.6345258331821331
